Title,Year,Rating,IMDb,Rotten Tomatoes,Genre,Description
Outside the Wire,2021,18+,5.3,66,Action & Adventure,In the near future a drone pilot sent into a war zone finds himself paired with a top-secret android officer on a mission to stop a nuclear attack.
Ava,2020,18+,5.4,82,Action & Adventure,An elite assassin wrestling with doubts about her work scrambles to protect herself and her estranged family after a hit goes dangerously wrong.
We Can Be Heroes,2020,7+,4.7,57,Action & Adventure,When alien invaders capture Earth's superheroes their kids must learn to work together to save their parents and the planet.
Extraction,2020,18+,6.7,81,Action & Adventure,A hardened mercenary's mission becomes a soul-searching race to survive when he's sent into Bangladesh to rescue a drug lord's kidnapped son.
6 Underground,2019,18+,6.1,74,Action & Adventure,After faking his death a tech billionaire recruits a team of international operatives for a bold and bloody mission to take down a brutal dictator.
Naruto Shippuden the Movie,2007,13+,6.9,64,Action & Adventure,"The adventures of adolescent ninja Naruto Uzumaki continue as he's tasked with protecting a priestess from a demon but to do so, he must die."
The Lovebirds,2020,18+,6.1,70,Action & Adventure,When a couple in the fast lane to splitsville accidentally careens into a murder they take off on a wild race to find the killer and clear their names.
Ip Man 4: The Finale,2019,16+,7,82,Action & Adventure,"Ip Man travels to San Francisco with his son and wrestles with tensions between martial arts masters and his star student, Bruce Lee."
Angel Has Fallen,2019,18+,6.4,78,Action & Adventure,Secret Service agent Mike Banning is caught in the crossfire when he's framed for a deadly attack on the president and forced to run for his life.
Dragonheart: Vengeance,2020,13+,5.3,51,Action & Adventure,When his family is slain by vicious savages a young farmer teams with an ice-breathing dragon and sword-wielding mercenary to avenge their deaths.
Doom: Annihilation,2019,18+,3.6,50,Action & Adventure,When a swarm of soul-stealing demons invades a Martian moon a group of elite space Marines must obliterate the beasts to save Earth.
El Camino: A Breaking Bad Movie,2019,18+,7.3,86,Action & Adventure,"Fugitive Jesse Pinkman attempts to outrun his past. Written and directed by ""Breaking Bad"" creator Vince Gilligan, starring Aaron Paul."
Animal World,2018,18+,6.5,68,Action & Adventure,"An unlucky, debt-ridden teen resorts to his math skills when he's forced into a deadly tournament of rock-paper-scissors run by a diabolical host."
The Christmas Chronicles: Part Two,2020,7+,6,72,Action & Adventure,"Unhappy over her mom's new relationship a now-teenage Kate runs away and lands at the North Pole, where a naughty elf is plotting to cancel Christmas."
Inside Man: Most Wanted,2019,18+,5.6,51,Action & Adventure,A hotshot NYPD negotiator butts heads with the FBI and meets his match in a meticulous criminal mastermind as she attempts to rob the Federal Reserve.
Jarhead: Law of Return,2019,18+,5.7,45,Action & Adventure,When a U.S. senator's son is held captive by Hezbollah militiamen a group of highly trained soldiers ventures into enemy territory to bring him home.
Naruto Shippuden the Movie: Blood Prison,2011,13+,7.3,59,Action & Adventure,Mistakenly accused of an attack on the Fourth Raikage ninja Naruto is imprisoned in the impenetrable Hozuki Castle and his powers are sealed.
Pets United,2019,7+,3.8,49,Action & Adventure,A street-smart dog and a pampered cat join forces to lead a pack of unlikely heroes when their city is seized by its evil mayor and his robot army.
Triple Threat,2019,18+,5.6,64,Action & Adventure,A crew of ruthless criminals hired to kill an influential heiress meet their match in a trio of surprisingly adept fighters who come to her aid.
Earth and Blood,2020,18+,4.9,47,Action & Adventure,A sawmill owner and his teenage daughter become tangled in a deadly feud when a drug dealer stashes stolen cocaine on their remote property.
Bobbleheads: The Movie,2020,7+,3.1,42,Action & Adventure,A team of bobbleheads band together to defend their collector's home when uninvited relatives barge in looking to steal from his prized collection.
Joseph: King of Dreams,2000,all,6.5,58,Animation,With his gift of dream interpretation and his brilliantly colored coat Joseph inspires jealousy in his brothers in this animated Bible story.
Mirai,2018,7+,7,77,Animation,Unhappy after his new baby sister displaces him four-year-old Kun begins meeting people and pets from his family's history in their unique house.
The Angry Birds Movie 2,2019,7+,6.4,74,Animation,Enemies turn into frenemies when the Pigs call for a truce with the Birds to unite against a formidable new foe that's threatening all of their homes.
No Game No Life: Zero,2017,18+,7.5,59,Animation,"In ancient Disboard, a young warrior befriends an ex machina and embarks on a harrowing mission to stop a global war and save humanity from extinction."
Animal Crackers,2020,7+,5.8,66,Animation,"Enchanted animal crackers turn Owen into whatever shape he eats! But to save the family circus, he'll have to keep them out of his evil uncle's hands."
Naruto the Movie: Ninja Clash in the Land of Snow,2004,16+,6.7,63,Animation,"Naruto, Sasuke and Sakura learn they'll be protecting an actress from being hurt while making her next film, but it turns out she's a princess."
Godzilla: Planet of the Monsters,2017,13+,6,55,Animation,"A desperate group of refugees attempts to recolonize Earth 20,000 years after Godzilla took over. But one young man wants revenge above all else."
Naruto the Movie: Legend of the Stone of Gelel,2005,16+,6.6,60,Animation,While on a mission to return a missing pet Naruto and two fellow ninjas are ambushed by brutal knights led by the enigmatic Temujin.
Cloudy with a Chance of Meatballs,2009,7+,6.9,83,Animation,When inventor Flint Lockwood makes clouds rain food the citizens of Chewandswallow can feed themselves. But a bowl of disaster is about to overflow.
Woody Woodpecker,2017,7+,4.1,48,Animation,A rascally bird with a distinctive laugh pecks back with a vengeance when his forest habitat is threatened by a slick lawyer building his dream home.
The Rugrats Movie,1998,all,5.9,65,Animation,When his baby brother Dil is born Tommy Pickles and his pals decide that he's too much responsibility and try to return him to the hospital.
Expelled from Paradise,2014,16+,6.7,52,Anime,"In the wake of a global catastrophe the human survivors are ""uploaded"" into a cyber network, but someone or something is infiltrating the system."
Violet Evergarden: Eternity and the Auto Memory Doll,2019,7+,7.4,64,Anime,A lonely young woman feels trapped at her all girls' school. But metal hands and heartfelt letters warm her heart when Violet becomes her tutor.
Altered Carbon: Resleeved,2020,18+,6.5,62,Anime,"On the planet Latimer, Takeshi Kovacs must protect a tattooist while investigating the death of a yakuza boss alongside a no-nonsense CTAC."
Dragon Quest: Your Story,2019,7+,6.5,55,Anime,Luca follows in his father's footsteps to rescue his mother from evil Ladja. Finding the heavenly hero who wields the Zenithian sword is his only hope.
Blame!,2017,13+,6.7,59,Anime,"Inside a vast, self-replicating city bent on eliminating all life, mysterious loner Killy emerges to guide a remnant of humanity desperate to survive."
NiNoKuni,2019,16+,6.1,50,Anime,Two average teens go on a magical quest to save the life of their friend and her counterpart from another world. But love complicates their journey.
Berserk: The Golden Age Arc I - The Egg of the King,2012,18+,7.6,63,Anime,Loner Guts is recruited by Griffith and his band of mercenaries but their ensuing success as a full-fledged army could lead to a horrible fate.
K-ON! The Movie,2011,16+,7.6,53,Anime,The seniors in Sakuragaoka High School's music club live out the graduation trip of their dreams when they celebrate by performing in London.
Carmen Sandiego: To Steal or Not to Steal,2020,7+,6.9,51,Anime,You drive the action in this interactive adventure helping Carmen save Ivy and Zack when V.I.L.E. captures them during a heist in Shanghai.
Jeremy Scott: The People's Designer,2015,13+,6.4,35,Biography,The journey of fashion designer Jeremy Scott from humble roots on a Missouri farm to creative director of Moschino is charted in this documentary.
Sour Apples,2016,7+,7.1,53,Biography,A dizzying chronicle of excess and deception dissects a fascinating case of fine-wine fraud and the con man who cheated investors out of millions.
Nasha Natasha,2020,7+,6.5,44,Biography,Concert and behind-the-scenes footage capture life on tour for Uruguayan sensation Natalia Oreiro as she performs for packed crowds throughout Russia.
Azhar,2016,13+,5.8,46,Biography,"This biopic traces the tumultuous life and career of top cricket player Mohammad Azharuddin, who led India's national team in the 1990s."
Curtiz,2018,18+,6,53,Biography,"Driven and arrogant film director Michael Curtiz deals with studio politics and family drama during the troubled production of ""Casablanca"" in 1942."
Hawaizaada,2015,7+,5.5,36,Biography,In 1895 Mumbai spirited Indian lad Shiv Talpade defies British rule and sparse funding and physics to build the world's first airplane.
Harishchandrachi Factory,2009,all,8.4,57,Biography,Against a backdrop of burgeoning social unrest a neophyte filmmaker makes history in 1913 as the director of India's first feature-length film.
Grand-Daddy Day Care,2019,13+,4.9,45,Comedy,A frustrated novelist with money problems opens an unsanctioned senior center at his house to make quick cash and occupy his cumbersome father-in-law.
The Nut Job,2014,7+,5.7,58,Comedy,When his grouchy attitude gets him kicked out of the park Surly the squirrel hatches a plan to rob Maury's Nut Shop to stock up for winter.
The Dirt,2019,18+,7,73,Comedy,In this unflinching biopic based on Motley Crue's best-selling book four LA misfits navigate the monster highs and savage lows of music superstardom.
Arctic Dogs,2019,7+,4.6,51,Comedy,When he stumbles upon evil Otto Von Walrus's scheme to melt the Arctic ambitious delivery fox Swifty assembles a ragtag crew to protect the planet.
The Week Of,2018,13+,5.2,55,Comedy,Two fathers with clashing views about their children's upcoming wedding struggle to keep it together during the chaotic week before the big day.
Step Sisters,2018,13+,5.4,53,Comedy,With her Harvard Law dreams on the line a black sorority leader agrees to help a rhythmically challenged sisterhood win a step dance championship.
Ibiza,2018,18+,5.2,61,Comedy,When Harper is sent to Spain for an important work meeting her hard-partying friends tag along and convince her to pursue a fling with a famous DJ.
Hey Arnold! The Jungle Movie,2017,7+,7.6,75,Comedy,When Arnold and his crew win a trip to San Lorenzo their adventure in the wild forces them to take the same risky path as Arnold's missing parents.
Term Life,2016,18+,5.6,51,Drama,After a botched job a heist mastermind must run from gangsters and stay alive long enough for his daughter to benefit from his life insurance policy.
Skin,2018,18+,7,76,Drama,On a quest to find beauty in all complexions actress Beverly Naya travels to her home country of Nigeria and explores colorism's impact on society.
Shot Caller,2017,18+,7.3,79,Drama,Trying to go straight a once-successful businessman fresh out of prison is forced to orchestrate a brazen crime or risk his family.
Benji,2018,7+,6.3,65,Drama,A determined dog comes to the rescue and helps heal a broken family when a young boy and his sister stumble into some serious danger.
In the Tall Grass,2019,18+,5.4,62,Drama,"After hearing a boy's cry for help a pregnant woman and her brother wade into a vast field of grass, only to discover there may be no way out."
Invader ZIM: Enter the Florpus,2019,7+,7.5,74,Animation,When Zim reappears to begin the next phase of his evil alien plan to conquer Earth his nemesis Dib Membrane sets out to unmask him once and for all.
Inuyasha the Movie 3: Swords of an Honorable Ruler,2003,7+,7.7,57,Animation,The Great Dog Demon beaqueathed one of the Three Swords of the Fang to each of his two sons. Now the evil power of the third sword has been awakened.
Skins,2017,18+,6.2,62,Comedy,Deformed disfigured characters must find a way to deal with society shunning their differences in this darkly comic social drama.
A Thousand Words,2012,13+,5.9,57,Comedy,"When he learns his karma will permit him to speak just a thousand more words before he dies, fast-talking agent Jack must make every syllable count."
Shrek the Musical,2013,13+,7,58,Comedy,The greatest fairy tale never told comes to life in this colorful song-filled Tony Award-winning Broadway production based on the hit movie.
The Set Up,2019,18+,4.9,36,Crime,Manipulation and personal vendettas collide when a con artist hires a young woman to assist with his scheme to marry a wealthy heiress.
